samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
wisdomtree japan hedged equity etf,"('wisdomtree japan hedged equity fund', 93)","('wisdomtree japan hedged equity fund', 94)","('wisdomtree japan hedged equity fund', 93)","('wisdomtree dynamic currency hedged japan equity fund', 91)","('wisdomtree japan hedged smallcap equity fund', 94)","('wisdomtree japan hedged equity fund', 93)"
pennsylvania state ref 5125 bond,"('pennsylvania power co', 64)","('pennsylvania co', 87)","('resources pennsylvania shares 3', 63)","('pennsylvania co', 87)","('pennsylvania co', 89)","('invesco bond fund', 86)"
royce value tr inc,"('royce value trust inc.', 92)","('trw inc', 92)","('royce value trust inc.', 92)","('kroy inc', 88)","('royce value trust inc.', 92)","('royce value trust inc.', 92)"
columbia river bank,"('columbia  bancorp', 72)","('columbia first bank washington dc', 84)","('river city bank', 76)","('colombo bank', 83)","('columbia first bank washington dc', 81)","('bank building & equipment corp of america', 86)"
nuveen ingo mutual,"('washington mutual inc', 56)","('nuveen ohio quality municipal income fund', 72)","('washington mutual inc', 62)","('nuveen ca muni income fund', 72)","('washington mutual inc', 62)","('washington mutual financial corp', 86)"
fidelity advisor freedom 2035 fund - institutional,"('fidelity advisor korea fund', 62)","('fidelity advisor korea fund', 74)","('fidelity advisor korea fund', 64)","('fidelity advisor korea fund', 74)","('fidelity advisor korea fund', 88)","('adams diversified equity fund inc', 86)"
solabrook corp,"('solaron corp', 85)","('brooke corp', 95)","('solaron corp', 85)","('solaron corp', 92)","('solaron corp', 85)","('aai corp', 86)"
columbia mid cap opportunity fund,"('pimco income opportunity fund', 71)","('american opportunity income fund', 76)","('american opportunity income fund', 71)","('first opportunity fund inc', 77)","('columbia corp', 76)","('invesco bond fund', 86)"
lancaster national bank,"('grant street national bank', 78)","('union bank', 80)","('liberty national bank/ca', 77)","('national can corp', 76)","('herald national bank', 79)","('american national insurance company', 86)"
amex technology select spdr fund,"('technology select sector spdr fund (the)', 76)","('pacer technology', 81)","('technology select sector spdr fund (the)', 77)","('electric & gas technology', 82)","('technology select sector spdr fund (the)', 92)","('technology select sector spdr fund (the)', 87)"
ohio state highway cap improvement bond,"('pimco strategic income fund', 55)","('oi sa', 80)","('morgan stanley india investment fund inc.', 56)","('oi sa', 80)","('cap ltd', 60)","('invesco bond fund', 86)"
discover bank cd - 254671ga2,"('university bank & trust/ca', 52)","('scor se', 71)","('river city bank', 54)","('isco inc', 75)","('opus bank', 62)","('bank one corp', 86)"
equity 500 index,"('equity au inc', 69)","('equity au inc', 77)","('equity au inc', 69)","('equity au inc', 77)","('alps etf trust u.s. equity high volatility put write index fund', 86)","('adams diversified equity fund inc', 86)"
ohio pers opers small cap index fund,"('wisdomtree europe smallcap dividend fund', 68)","('ca inc', 83)","('principal u.s. small cap index etf', 64)","('ohio power', 80)","('global small cap fund inc', 72)","('alterman investment fund', 86)"
vanguard insured long term tax exempt,"('vanguard long-term bond etf', 69)","('avangrid inc', 75)","('vanguard long-term bond etf', 66)","('empi inc', 75)","('vanguard long-term bond etf', 80)","('american vanguard corp', 86)"
premier valley bank,"('premier valley bank/ca', 93)","('premier valley bank/ca', 100)","('premier valley bank/ca', 93)","('premier valley bank/ca', 84)","('premier valley bank/ca', 100)","('premier valley bank/ca', 95)"
mass mutual life insurance policy,"('massachusetts mutual life insurance co', 79)","('massachusetts mutual life insurance co', 81)","('massachusetts mutual life insurance co', 73)","('olie inc', 75)","('northwestern mutual life insurance co (the)', 78)","('cci life systems inc', 86)"
southern california strategic advocacy,"('southern california first national corp', 73)","('air california', 86)","('california state bank/ca', 65)","('air california', 86)","('southern california gas co', 84)","('air california', 86)"
virtus alpha sector rotation fund,"('ishares core growth allocation fund', 65)","('alpha-en corp', 77)","('first trust taiwan alphadex fund', 62)","('virtusa corp', 87)","('sector 5 inc', 67)","('alpha solarco inc', 86)"
ubs bank usa dep account xx09,"('union bankshares ltd/co', 50)","('dep corp', 75)","('great american bank san diego', 52)","('poncebank', 67)","('opus bank', 62)","('art metal usa inc', 86)"
vanguard index funds small cap value vip,"('vanguard small-cap value etf', 74)","('vanguard r e fund i', 79)","('vanguard small-cap value etf', 76)","('vanguard value etf', 83)","('vanguard small-cap value etf', 92)","('vanguard small-cap value etf', 87)"
"augusta, me muni bond","('putnam municipal bond fund', 60)","('unioil', 67)","('pimco australia bond index etf', 60)","('powershares new york amt-free municipal bond portfolio', 70)","('ishares ibonds sep 2018 term muni bond etf', 62)","('vaneck vectors emerging markets high yield bond etf', 86)"
o-cap partners,"('oci partners lp', 76)","('transocean partners llc', 86)","('partners oil co', 83)","('snyder oil partners lp', 86)","('claymore/robeco boston partners large-cap value etf', 92)","('maxum energy logistics partners lp', 86)"
imation corp,"('materion corp', 88)","('atrion corp', 95)","('materion corp', 88)","('iomai corp', 90)","('materion corp', 88)","('materion corp', 88)"
salomon smith barney accounts,"('smith barney holdings inc', 59)","('smith barney holdings inc', 70)","('salomon phibro oil trust', 57)","('mth inc', 71)","('smith barney holdings inc', 67)","('binney & smith inc', 86)"
fidelity & independence fund,"('first independence corp/de', 67)","('tortoise energy independence fund inc', 75)","('western fidelity funding inc', 70)","('tortoise energy independence fund inc', 77)","('tortoise energy independence fund inc', 79)","('invesco bond fund', 86)"
indiana 2035 fund,"('india growth fund inc', 58)","('india growth fund inc', 65)","('nets ta-25 index fund', 68)","('mi fund inc', 73)","('nets ta-25 index fund', 68)","('adams diversified equity fund inc', 86)"
"greene county, oh sewer sys rev bond","('greene county bancorp inc', 59)","('sys', 100)","('greene county bancorp inc', 57)","('sys', 100)","('sys', 100)","('invesco bond fund', 86)"
family summer home,"('family showtime theatres inc', 57)","('omex', 75)","('family showtime theatres inc', 61)","('summer & co', 78)","('summer & co', 80)","('american family financial services inc', 86)"
michigan municipal bond authority bond,"('eaton vance michigan municipal bond fund', 69)","('eaton vance michigan municipal bond fund', 82)","('eaton vance michigan municipal bond fund', 69)","('michigan sugar', 71)","('eaton vance michigan municipal bond fund', 82)","('invesco bond fund', 86)"
lazard emerging markets eqty port opn,"('schwab emerging markets equity etf', 70)","('wisdomtree strong dollar emerging markets equity fund', 77)","('hartford multifactor emerging markets etf', 67)","('caremark', 75)","('lazard ltd', 75)","('a.j. bayless markets inc', 86)"
verint systems,"('verint systems inc', 88)","('sys', 100)","('verint systems inc', 88)","('sys', 100)","('verint systems inc', 100)","('verint systems inc', 95)"
north run qualified partners,"('comcast uk cable partner', 62)","('oci partners lp', 74)","('rainwire partners inc', 61)","('usd partners lp', 73)","('partners oil co', 70)","('verizon inc/north', 86)"
columbia marsico international fund,"('amsco international inc', 72)","('rocor international', 89)","('varco international inc', 72)","('pra international', 88)","('hmo international', 87)","('a i c international inc', 86)"
citizens bank of pennsylvania checking,"('citizens bancorp of virginia inc', 66)","('pennsylvania co', 93)","('royal bancshares of pennsylvania inc', 68)","('pennsylvania co', 93)","('pennsylvania co', 89)","('alltel pennsylvania inc', 86)"
barbara & stewart boxer blind trust,"('banyan short term income trust', 58)","('api trust', 78)","('arbor realty trust inc.', 65)","('api trust', 78)","('api trust', 71)","('api trust', 86)"
traveler's checks,"('travelers corp', 71)","('travelers corp', 79)","('triple check inc', 67)","('travelers corp', 71)","('triple check inc', 67)","('a i t s inc', 86)"
tenn hsg dev agy rsdl fing prg rev non-amt bond,"('vanguard emerging markets government bond etf', 48)","('sdl inc', 86)","('spdr bloomberg barclays short term high yield bond etf', 50)","('gdv inc', 71)","('spdr bloomberg barclays short term high yield bond etf', 50)","('invesco bond fund', 86)"
bridgewater private investors,"('barings corporate investors', 71)","('tidewater inc.', 77)","('barings participation investors', 67)","('federated investors', 79)","('dk investors inc', 72)","('amc investors inc', 86)"
timbertech partners,"('brooke partners lp', 65)","('great american partners lp', 74)","('teppco partners lp', 65)","('rentech nitrogen partners lp', 80)","('partners oil co', 70)","('maxum energy logistics partners lp', 86)"
honda of ocala,"('honda motor co ltd', 62)","('rhodia', 67)","('oclaro inc', 58)","('cala corp', 75)","('honda motor co ltd', 62)","('adventure lands of america', 86)"
citibank- savings,"('scotiabank peru sa', 63)","('citybank', 88)","('american savings bank', 70)","('citybank', 88)","('american savings bank', 70)","('mercury savings & loan assn', 86)"
delta institutional lp,"('deltec international ltd', 70)","('diet institute inc', 78)","('institutional investors/de', 71)","('institutional investors/de', 77)","('institutional investors/de', 74)","('maxum energy logistics partners lp', 86)"
806 requa road,"('sequa corp', 50)","('rauma oy', 62)","('quadramed corp', 50)","('powershares russell 2000 equal weight portfolio', 64)","('at road inc', 53)","('kings road entertainment', 86)"
"hawthorn ave, boulder, co","('auto soler co', 58)","('deere & co', 70)","('butler national corp', 60)","('leath & co', 75)","('boulder brewing co', 71)","('anr pipeline co', 86)"
rowe t price mid cap growth fund (rpmgx) (eif),"('claymore/clear mid-cap growth index etf', 64)","('india growth fund inc', 76)","('schroder asian growth fund inc', 61)","('t. rowe price group inc', 77)","('price co', 77)","('a i t s inc', 86)"
enterprise sunrise medical llc,"('sunrise medical inc', 69)","('sunrise medical inc', 89)","('u s medical enterprises inc', 81)","('sunrise medical inc', 89)","('sunrise medical inc', 88)","('bsd medical corp', 86)"
granite fack energy,"('granite falls energy llc', 79)","('granite falls energy llc', 84)","('granite falls energy llc', 79)","('granite falls energy llc', 84)","('granite falls energy llc', 85)","('allegheny & western energy-old', 86)"
skulty helmuts inc,"('steelmet inc', 67)","('tsc inc', 86)","('hughes supply inc.', 69)","('dts inc', 86)","('hughes supply inc.', 69)","('aec inc', 86)"
brazos river authority txu put bonds,"('sports authority inc. (the)-old', 54)","('two river bancorp', 65)","('us data authority inc', 60)","('two river bancorp', 65)","('us data authority inc', 60)","('dan river inc-old', 86)"
greenburg rural housing lp,"('general computing corp', 58)","('asi', 67)","('silk greenhouse inc', 58)","('lbp inc', 71)","('universal housing & development co', 59)","('national rural utilities cooperative finance corp', 86)"
212 s main street lp,"('main street bancorp', 67)","('nstar', 80)","('main street bancorp', 67)","('marina lp', 78)","('main street bancorp', 73)","('a i t s inc', 86)"
puerto rico commonwealth bond,"('first commonwealth inc', 67)","('commonwealth gas co', 78)","('commonwealth electric co', 75)","('commonwealth electric co', 79)","('commonwealth gas co', 77)","('invesco bond fund', 86)"
large cap index fund,"('nets ta-25 index fund', 68)","('etfs diversified-factor us large cap index fund', 100)","('acm managed income fund', 65)","('etfs diversified-factor us large cap index fund', 85)","('etfs diversified-factor us large cap index fund', 100)","('etfs diversified-factor us large cap index fund', 90)"
cullen high yield dividend equity fund,"('voya emerging markets high income dividend equity fund', 67)","('voya emerging markets high income dividend equity fund', 79)","('ishares core high dividend etf', 68)","('voya asia pacific high dividend equity income fund', 76)","('deutsche x-trackers msci eafe high dividend yield hedged equity etf', 81)","('alterman investment fund', 86)"
wachovia cap asset management account,"('american asset management corp', 72)","('wachovia corp', 85)","('american asset management corp', 69)","('nab asset corp', 79)","('om asset management plc', 82)","('beverage management inc', 86)"
land/bryant tract 28.3 acres,"('lane bryant inc', 56)","('lane bryant inc', 73)","('inland real estate corp', 55)","('lane bryant inc', 67)","('lane bryant inc', 57)","('american land co', 86)"
